Sentence number	Greek	Fowler	Jowett	Schleiermacher	Rahimi	Nikpour	Mohammadi	Mahmoudzadeh	Assimi						
0059-003|11.|Cr.43b.3.	Κρίτων. οὐ μὰ τὸν Δία, ὦ Σώκρατες, οὐδ᾽ ἂν αὐτὸς ἤθελον ἐν τοσαύτῃ τε ἀγρυπνίᾳ καὶ λύπῃ εἶναι, ἀλλὰ καὶ σοῦ πάλαι θαυμάζω αἰσθανόμενος ὡς ἡδέως καθεύδεις:	Crito. No, no, by Zeus, Socrates, I only wish I myself were not so sleepless and sorrowful. But I have been wondering at you for some time, seeing how sweetly you sleep;	Cr. Why, indeed, Socrates, I myself would rather not have all this sleeplessness and sorrow. But I have been wondering at your peaceful slumbers,	Kriton: Nein, beim Zeus, Sokrates, wollte ich doch selbst lieber nicht so lange gewacht haben in solcher Betrübnis. Aber sogar dir habe ich schon lange verwundert zugesehen, wie sanft du schliefst;	سوگند به زئوس نه , ای سقراط , کاش خود دوست نداشتم دیرزمان در شب‌زنده‌داری و رنج درگیرشوم , اما از این گذشته چندی پیش محو تماشای تو بوده‌ام که چگونه آرام خفته‌ای ; 	ای سقراط ; نه به زئوس [ قسم ] , خودم میل داشتم که اگر [ ممکن بود ] بسی بی خواب و اندوهگین نبودم ; لیکن دیرزمانی است که از تو در شگفتم , می بینم خوش خوابیده ای ;   ++ برای خاطر خدا حرفش را هم نزن سقراط . خودِ من نمی‌خواستم این‌چنین در بی‌خوابی و رنج باشم , اما مدتی است از دیدنِ تو که چه آسوده می‌خوابی در شگفتم	سوگند به زئوس، نه سقراط! شاید می‌خواستم خودم در بی‌خوابی و نیز رنج چنین عظیمی نبودم، و دیگر اینکه دیربازی در حال دیدن اینکه در خواب شیرین بودی، بر تو خیره بودم:	ای سقراط ! سوگند به زئوس چنین مباشد . من خود , بودن در این بسیاریِ رنج و بی خوابیِ را نمی خواستم , لیک دیری ست در حالِ نگریستنِ تو ام و در حیرت ام که چه سان دلپذیر خفته ایی	نه , به زئوس , سقراط شایق بودم که خود چنین بیخواب و رنجور نباشم , اما چندی است با دیدن اینکه چه خوش خفته ای از تو در شگفتم						
0059-003|12.|Cr.43b.4.	καὶ ἐπίτηδές σε οὐκ ἤγειρον ἵνα ὡς ἥδιστα διάγῃς.	and I purposely refrained from waking you, that you might pass the time as pleasantly as possible.	and that was the reason why I did not awaken you, because I wanted you to be out of pain.	und recht wohlbedächtig habe ich dich nicht geweckt, damit dir die Zeit noch recht sanft hingehe.	و عمداً به این دلیل بیدارت نکردم که همچنان به‌خوشایندی تداوم‌اش‌دهی .	و عمداً تورا بیدار نکردم تا در اینجا که به خوشی سر کنی ++ و عمداً تو را بیدار نکردم تا مگر گذران مطبوعی داشته باشی .	و به قصد تو را بیدار نکردم تا زمانی را در آسوده‌ترین حالت ممکن سپری کنی .	و به عمد تو را بیدار نمی کردم از این رو که چنین مطبوع گذرِ زمان را بر می تابی	و عمدا بیدارت نکردم تا همانطور خوش وقتت بگذرد .						
0059-003|13.|Cr.43b.5.	καὶ πολλάκις μὲν δή σε καὶ πρότερον ἐν παντὶ τῷ βίῳ ηὐδαιμόνισα τοῦ τρόπου, πολὺ δὲ μάλιστα ἐν τῇ νῦν παρεστώσῃ συμφορᾷ, ὡς ῥᾳδίως αὐτὴν καὶ πρᾴως φέρεις.	I have often thought throughout your life hitherto that you were of a happy disposition, and I think so more than ever in this resent misfortune, since you bear it so easily and calmly.	I have always thought you happy in the calmness of your temperament; but never did I see the like of the easy, cheerful way in which you bear this calamity.	Denn oft schon freilich auch sonst im ganzen Leben habe ich dich glücklich gepriesen deiner Gemütsart wegen, bei weitem aber am meisten bei dem jetzigen Unglück wie leicht und gelassen du es erträgst.	و نیز اغلب شما را به دلیل سلوکتان و زندگی‌ شادکامانه تمجید کرده‌ام، اما در این تیره‌بختی و کینه‌توزی کنونی، بیش از پیش [شما را تمجید می‌کنم]، چراکه راحت و آرام آن را تحمل می‌کنید.	.و در واقع تو را اغلب و تا کنون در سراسر زندگانی ات دارای مناعت طبع [ دانسته ام ] ;و من بیش از همیشه اکنون در [ فکر ] نگون بختی اخیر [ هستم ] زیرا که تو خود را در فراغ بالی و متانت قرار می دهی . ++   و من پیش از این اغلب تو را از طریق کردار زندگی‌ات شاد خواندم , و حتی اکنون بیش از پیش قدعلم‌کرده دربرابر تیره‌بختی , تو آن را چه سهل و آرام. تاب می‌آوری	و پیش‌تر از طرفی هم در طول زندگانی‌ات اغلب اوقات تو را به گونه‌ای شادمان می‌دانستم، اما اکنون بیش از پیش که در این بدشگونی در حال وقوع، به آسانی و به آرامی آن را متحمل می‌شوی.	و به راستی پیش تر نیز بارها بهرِ منش ات در تمام زندگی تو را نیکبخت پنداشته ام و حال در این تیره بختیِ پیش آمده بسی بیشتر که بدین سان به آسودگی و سبکبالی تاب اش می آوری .	و من اغلب تا کنون ترا در زندگی ات دارای منشی سعادتمند قلمداد کرده ام و اینکه خودت چه سهل این بداقبالی کنونی را متحمل شده ای مرا در این نظر راسخ تر کرده است .						
0059-003|14.|Cr.43c.1.	Σωκράτης. καὶ γὰρ ἄν, ὦ Κρίτων, πλημμελὲς εἴη ἀγανακτεῖν τηλικοῦτον ὄντα εἰ δεῖ ἤδη τελευτᾶν.	Socrates. Well, Crito, it would be absurd if at my age I were disturbed because I must die now.	Soc. Why, Crito, when a man has reached my age he ought not to be repining at the prospect of death.	Sokrates: Es wäre ja auch frevelhaft, o Kriton, mich in solchem Alter unwillig darüber zu gebärden, wenn ich endlich sterben muß.	البته چنین خواهد بود , ای کریتون , اگر بایستی اکنون بمیرم , برآشفتگی در سن و سال من شرم‌آور خواهد بود	. و به همین دلیل , کریتون , چه‌بسا ناشایست باشد اگر در این سن عصیان‌گر باشم , همین حالا هم درگذشتن اقتضا می‌کند	و برای همین، ای کریتون، اگر حال که ناگزیر مرگ من فرا رسیده است شاید آزرده خاطر شدن با این کهولت سن ناهمگون می‌شد.	به راستی ای کریتون بادا که پریشان خاطر شدن در این سن نابسزا باشد اگر که می بایست حال به فرجامِ عمر رسیدن .	باری , ای کریتون شرم آور است که در چنین سنی که دیگر وقت مردن است بر خود بلرزم .						
0059-003|15.|Cr.43c.2.	Κρίτων. καὶ ἄλλοι, ὦ Σώκρατες, τηλικοῦτοι ἐν τοιαύταις συμφοραῖς ἁλίσκονται, ἀλλ᾽ οὐδὲν αὐτοὺς ἐπιλύεται ἡ ἡλικία τὸ μὴ οὐχὶ ἀγανακτεῖν τῇ παρούσῃ τύχῃ.	Crito. Other men as old, Socrates, become involved in similar misfortunes, but their age does not in the least prevent them from being disturbed by their fate.	Cr. And yet other old men find themselves in similar misfortunes, and age does not prevent them from repining.	Kriton: Werden doch auch Andere, Sokrates, eben so bejahrte von solchem Unglück bestrickt; aber ihr Alter schützt sie nicht davor, sich nicht unwillig zu gebärden gegen das eintretende Geschick.	البته ای سقراط , دیگرانی پیرتر در مصیبت‌های مشابهی گرفتار آمده‌اند اما با اینحال سنشان هیچکدام‌ شان را از برآشفتگی دررسیدن تقدیرشان نرهانیده است .	دیگر سالخوردگان سقراط به چنین تیره‌بختی‌ای گرفتار می‌شوند , اما ابداً سن‌و‌سال آنها را از عصیان در محضر سرنوشت . بازنمی‌دارد	و نیز دیگرانی، ای سقراط، با همین سن در این چنین مصیبتی گرفتار آمده‌اند، ولی طول عمر به هیچ وجه آن‌ها را از آزرده خاطر شدن‌شان از تقدیر رخ داده برایشان باز نمی‌دارد.	ای سقراط ! دیگرانی هم در این سن به چنین تیره بختی هایی دچار می گردند اما سن شان آنان را به هیچ روی از پریشان خاطر شدن بهرِ قضا و قدر باز نمی دارد .	دیگرانی , ای سقراط در همین سن گرفتار چنین بداقبالی ای اند , اما سال عمرشان ایشان را نه از چیزی رهانیده و نه حتی از بر خود لرزیدن به نزد فرجام بازداشته است .						
0059-003|16.|Cr.43c.3.	Σωκράτης. ἔστι ταῦτα.	Socrates. That is true.	Soc. That may be.	Sokrates: Wohl wahr!	هستند ,	درست است .	چنین است .	سقراط: چنین است .	همینطور است .						
0059-003|17.|Cr.43c.4.	ἀλλὰ τί δὴ οὕτω πρῲ ἀφῖξαι;	But why have you come so early?	But you have not told me why you come at this early hour.	Aber warum doch bist du so früh gekommen?	اما چرا بدین پگاه آمده‌ای؟	اما چرا این‌قدر زود آمده‌ای ؟	ولی برای چه بدین‌گونه زود آمده‌ای ؟	اما از چه روی این سان زود آمده ایی ؟	اما چرا اینقدر زود آمده ای ؟						
0059-003|18.|Cr.43c.5.	Κρίτων. ἀγγελίαν, ὦ Σώκρατες, φέρων χαλεπήν, οὐ σοί, ὡς ἐμοὶ φαίνεται, ἀλλ᾽ ἐμοὶ καὶ τοῖς σοῖς ἐπιτηδείοις πᾶσιν καὶ χαλεπὴν καὶ βαρεῖαν, ἣν ἐγώ, ὡς ἐμοὶ δοκῶ, ἐν τοῖς βαρύτατ᾽ ἂν ἐνέγκαιμι.	Crito. To bring news, Socrates, sad news, though apparently not sad to you, but sad and grievous me and all your friends, and to few of them, I think, so grievous as to me.	Cr. I come to bring you a message which is sad and painful; not, as I believe, to yourself but to all of us who are your friends, and saddest of all to me.	Kriton: Um dir eine traurige Botschaft zu bringen, Sokrates. Nicht dir, wie ich wohl sehe, aber mir und allen deinen Freunden traurig und schwer, und die ich wie mich dünkt ganz besonders am schwersten ertragen werde.	ای سقراط , آورندهٔ خبرهای ناگوار هستم , نه چنانکه بر من آشکار است برای تو , اما برای من و همه آن دوست‌داران‌ات البته سخت و جانگداز , چه به نظرم می‌آید برای من سخت‌ترین‌ها دوام آوردن‌ام درمیانه آنها است .	سقراط , حامل خبری طاقت‌فرسا هستم , نه برای تو , چنانکه بر من پیداست , اما طاقت‌فرسا و گران برای من و همه‌ی دوستان تو .. چه‌بسا در میان آن‌ها , چنانکه به نظر من می‌رسد , من آن را به گران‌ترین حالت حمل کرده‌ام	حامل پیامی اندوهناک هستم، ای سقراط، نه برای تو، آنگونه که برای من آشکار است، بلکه برای من و تمامی دوستداران‌ات سخت و هم گران است، آن [خبر] من، چنانکه می‌پندارم، در میان آن‌ها برای من [از همه بیشتر] گران می‌آید.	کریتون: ای سقراط ! پیامی دشوار را آورنده ام . البتّه نه برایِ تو آنگونه که بر من پیدا ست , امّا بس دشوار و گران برای من و جُمله یاران ات , چنانکه می پندارم در بین آنان من اش چه گران تر بر دوش کشیدمی .	برای آوردن خبر , ای سقراط , خبری ناگوار و چنانکه بر من هویداست نه چنان ناگوار برای تو . اما برای من و تمام دوستدارانت هم ناگوار و هم گران و بر من چنانکه خود می دانم گران ترین تا حمل کنم .						
0059-003|19.|Cr.43c.6.	Σωκράτης. τίνα ταύτην;	Socrates. What is this news?	Soc. What!	Sokrates: Was doch für eine?	کدام اش‌؟	چه خبری ؟	این [ خبر ] چیست ؟	چه باشد آن ؟	کدام خبر ؟						
0059-003|20.|Cr.43d.1.	ἢ τὸ πλοῖον ἀφῖκται ἐκ Δήλου, οὗ δεῖ ἀφικομένου τεθνάναι με;	Has the ship come from Delos, at the arrival of which I am to die?	I suppose that the ship has come from Delos, on the arrival of which I am to die?	Ist etwa das Schiff aus Delos zurückgekommen, nach dessen Ankunft ich sterben soll?	مگر آن کشتی از دلوس رسیده‌است , آنکه با آمدنش لازم است مرده باشم .	مگر آن کشتی , که با ورود آن مرا می‌بایست مردن , از دلوس رسیده است ؟	یا کشتی از دلوس رسیده است، آنکه با رسیدنش مرگ من ملزوم می‌شود؟	مگر آن کشتی از دلوس رسیده است , همان که با آمدن اش می بایست مرا بدرود حیات گفتن .	آیا آن کشتی که رسیدنش از دلوس مقتضی مرگ من است رسیده است ؟						
0059-003|21.|Cr.43d.2.	Κρίτων. οὔτοι δὴ ἀφῖκται, ἀλλὰ δοκεῖν μέν μοι ἥξει τήμερον ἐξ ὧν ἀπαγγέλλουσιν ἥκοντές τινες ἀπὸ Σουνίου καὶ καταλιπόντες ἐκεῖ αὐτό.	Crito. It has not exactly come, but I think it will come today from the reports of some men who have come from Sunium and left it there.	Cr. No, the ship has not actually arrived, but she will probably be here to-day, as persons who have come from Sunium tell me that they have left her there;	Kriton: Noch ist es zwar nicht hier, aber ich glaube doch es wird heute kommen, nach dem was Einige von Sunion gekommene berichten, die es dort verlassen haben.	نه درواقع نرسیده، اما بر اساس گزارش برخی از افراد که از سونیون آمده و آنجا را ترک کرده‌اند، فکر می‌کنم که امروز می‌آید.	همین حالا نیامده است , اما به نظرم همین امروز خواهد آمد . آنان که از سونیون آمده‌ و کشتی آنجا نهاده‌اند , از آنان خبر رسیده. است .	هنوز نرسیده است، اما به راستی من فکر می‌کنم که امروز خواهد آمد از آنجاییکه کسانی که از سونیون آمده‌ و آن [کشتی] را آنجا رها کرده خبر آورده‌اند.	کریتون: فعلاً نرسیده است , امّا به باورم امروز دیگر خواهد آمد زیرا کسانی که از سونیون رسیده اند و آن کشتی بدانجا وانهاده اند چنین خبر می دهند .	هنوز دقیقا نرسیده است . اما طبق گزارشات آنانی که از سونیوم آمده اند و کشتی را درآنجا واگذاشتند فکر کنم حتما امروز برسد .						
0059-003|22.|Cr.43d.3.	δῆλον οὖν ἐκ τούτων τῶν ἀγγέλων ὅτι ἥξει τήμερον, καὶ ἀνάγκη δὴ εἰς αὔριον ἔσται, ὦ Σώκρατες, τὸν βίον σε τελευτᾶν.	Now it is clear from what they say that it will come today, and so tomorrow, Socrates, your life must end.	and therefore to-morrow, Socrates, will be the last day of your life.	Aus dieser Nachricht nun ergibt sich, daß es heute kommt,		درواقع , واضح است از این پیام‌آوران که امروز خواهد رسید , و فردا ای سقراط خاتمه‌یافتن زندگی تو بایسته خواهد بود	حال از این پیام‌آوران آشکار است که امروز خواهد آمد , و اینک فردا لازم خواهد بود , ای سقراط , که زندگی تو پایان یابد .	از این پیام‌آوران بَس هویدا که امروز خواهد آمد، ای سقراط ! چه آنگاه فردا به فرجام رسیدنِ عمر تو ناگزیر است.	از این گزارشات پیداست که امروز خواهد رسید و بنابراین فردا , ای سقراط , پایان خواهد پذیرفت .						
0059-003|23.|Cr.43d.4.	Σωκράτης. ἀλλ᾽, ὦ Κρίτων, τύχῃ ἀγαθῇ, εἰ ταύτῃ τοῖς θεοῖς φίλον, ταύτῃ ἔστω:	Socrates. Well, Crito, good luck be with us! If this is the will of the gods, so be it.	Soc. Very well, Crito; if such is the will of God, I am willing;	Sokrates: Also, o Kriton, Glück auf! Wenn es den Göttern so genehm ist, sei es so.	ای کریتون، خوشا چنین بخت؛ اگر برای خدایان بدین خوشایندی است، چنین بادا.	باری , ای کریتون , بخت یارت , اگر این در نظر خدایان مقبول است , چنین باد :	اما توخه رئوف باشد ، ای کریتون، اگر برای ایزدان اینگونه خوشایند است، چنین باد:	لیک ای کریتون , نیک بختی ست اگر مُرادِ خدایان بر این باشد . چنین باد .	خب ای کریتون , خوشا بدین بخت , اگر خدایان را خوشایندی بدین سان است , ایدون باد .						
0059-003|24.|Cr.43d.5.	οὐ μέντοι οἶμαι ἥξειν αὐτὸ τήμερον.	However, I do not think it will come today.	but my belief is that there will be a delay of a day.	Jedoch glaube ich nicht, daß es heute kommt.	با وجود این، فکر نمی‌کنم امروز بیاید.	گرچه گمان نمی‌برم آن کشتی امروز بیاید .	اگر چه فکر نمی‌کنم آن [کشتی] امروز بیاید.	گرچه رسیدنِ آن کشتی بدین روز باور ندارم .	من اما فکر نمیکنم که امروز بیاید .						
0059-003|25.|Cr.44a.1.	Κρίτων. πόθεν τοῦτο τεκμαίρῃ;	Crito. What is your reason for not thinking so?	Cr. Why do you say this?	Kriton: Woher vermutest du das?	از کجا می‌دانی؟	ازچه‌رو چنین برآورد می‌کنی؟	از کجا اینطور استنتاج می‌کنی؟	کریتون : از کجا این ادعا می کنی ؟							
0059-003|26.|Cr.44a.2.	Σωκράτης. ἐγώ σοι ἐρῶ.	Socrates. I will tell you.	Soc. I will tell you.	Sokrates: Das will ich dir sagen.	به تو می‌گویم.	به تو خواهم گفت .	من برای تو خواهم گفت .	من به تو خواهم گفت ;	به تو خواهم گفت .						
0059-003|27.|Cr.44a.3.	τῇ γάρ που ὑστεραίᾳ δεῖ με ἀποθνῄσκειν ἢ ᾗ ἂν ἔλθῃ τὸ πλοῖον.	I must die on the day after the ship comes in, must I not?	I am to die on the day after the arrival of the ship?	Ich soll doch an dem folgenden Tage sterben, nachdem das Schiff gekommen ist.	روز پسین، پس از آمدن کشتی، من باید بمیرم.	گویا مرا جان‌باختن باید , فردای روزی که آن کشتی بازگردد .	مگر اینطور نیست که مرگ من پس از آن [ روز ] که کشتی بیاید حتمی می‌شود ؟	پس از آنکه کشتی همی بدانجا فرا برسد مرا مردن می بایست .	فردای آمدن کشتی لازم است بمیرم .						
0059-003|28.|Cr.44a.4.	Κρίτων. φασί γέ τοι δὴ οἱ τούτων κύριοι.	Crito. So those say who have charge of these matters.	Cr. Yes; that is what the authorities say.	Kriton: So sagen wenigstens die darüber zu gebieten haben.	دست‌کم آنها که فرمان آن را صادر می‌کنند چنین می‌گویند.	درواقع عهده‌داران این امور به تو چنین می‌گویند .	به یقین این کمابیش همانی است که هیئت داوران می‌گویند.	به هر تقدیر آمرانِ این امور چنین می گویند .	به هر روی اولیای امور چنین می گویند .						
0059-003|29.|Cr.44a.5.	Σωκράτης. οὐ τοίνυν τῆς ἐπιούσης ἡμέρας οἶμαι αὐτὸ ἥξειν ἀλλὰ τῆς ἑτέρας.	Socrates. Well, I think it will not come in today, but tomorrow.	Soc. But I do not think that the ship will be here until to-morrow;	Sokrates: Daher glaube ich nun nicht, daß es an dem jetzt anbrechenden Tage kommen wird, sondern erst an dem nächsten.	حال/هماکنون گمان می‌کنم نه امروز/روز پیش روی/ روزجاری/ روزی که در پی خواهد آمد بلکه دیگر روز/فردا می‌آید .	صحیح . به نظرم می‌آید آن کشتی در اثنای روز پیشِ رو نخواهد آمد , بلکه فردا [ خواهد آمد ] .	چرا که فکر می‌کنم کشتی نه طی این روز بلکه فردا خواهد آمد .	سقراط : همانا میدانم که آن , طیِ امروز نه , بلکه فردا می رسد ;							
0059-003|30.|Cr.44a.6.	τεκμαίρομαι δὲ ἔκ τινος ἐνυπνίου ὃ ἑώρακα ὀλίγον πρότερον ταύτης τῆς νυκτός:	And my reason for this is a dream which I had a little while ago in the course of this night.	this I gather from a vision which I had last night, or rather only just now,	Ich schließe das aber aus einem Traume, den ich vor einer kleinen Weile in dieser Nacht gesehen habe,	شاهدم خوابی است که امشب اندک زمانی پیش دیده‌ام	شاهد می‌آورم از رؤیایی که اندکی پیش در اثنای شب دیده‌ام .	و اما استدلال من از رویایی است که اندکی پیش در پاره‌ای از این شب دیده‌ام.	لیکن گواهم از رویایی ست که قدری پیش تر , به پاره ایی از خواب ِامشب دیده ام							
0059-003|31.|Cr.44a.7.	καὶ κινδυνεύεις ἐν καιρῷ τινι οὐκ ἐγεῖραί με.	And perhaps you let me sleep just at the right time.	when you fortunately allowed me to sleep.	und beinahe mag es sich recht gelegen gefügt haben, daß du mich nicht aufgeweckt hast.	و بیدارنکردن‌ام وقت مناسبی به نظ‌رمی‌رسد .	و به نظر می‌رسد در دقایق مساعدی مرا بیدار نکردی . [ و در دقایق مساعدی به بیدارکردن من مبادرت نورزیدی ]	و شاید به همین خاطر است که مرا در وقت اش بیدار نکرده‌ای .	و چه بجا برآن شدی تا به هیچ روی مرا بیدار نگردانی .							
0059-003|32.|Cr.44a.8.	Κρίτων. ἦν δὲ δὴ τί τὸ ἐνύπνιον;	Crito. What was the dream?	Cr. And what was the nature of the vision?	Kriton: Und was träumte dir?	اما چه بود آن خواب؟	دقیقاً چه رؤیایی بود؟	و اما رویا [ یت ] چه بود ؟	کریتون : اما , مگر چه بود آن رویا ؟							
0059-003|33.|Cr.44b.1.	Σωκράτης. ἐδόκει τίς μοι γυνὴ προσελθοῦσα καλὴ καὶ εὐειδής, λευκὰ ἱμάτια ἔχουσα, καλέσαι με καὶ εἰπεῖν:	Socrates. I dreamed that a beautiful, fair woman, clothed in white raiment, came to me and called me and said,	Soc. There came to me the likeness of a woman, fair and comely, clothed in white raiment, who called to me and said:	Sokrates: Es kam mir vor, als ob eine schöne wohlgestaltete Frau mit weißen Kleidern angetan auf mich zukam, mich anrief und mir sagte:	می‌پنداشتم زنی زیبا/ سفید روی و برازنده/خوب‌روی/ شایسته در/با /دارنده ردایی سفید سوی من آمد , مرا فراخواند و گفت :	بر من پدیدار شد [ که ] زنی زیبا و خوش‌سیما , با ردای سفیدی در بر , به سوی من آمده , مرا فراخواند و گفت :	خواب دیدم زنی زیباروی و نیکو، هیماتیونی سفید به تن، سوی من آمد، مرا فرا خواند و گفت:	سقراط : خواب دیدم زنی زیبا و خوب‌چهر , آراسته به ردا یی سپید نزد من آمد و مرا صدا کرد و گفت :							
0059-003|34.|Cr.44b.2.	‘ὦ Σώκρατες, “ἤματί κεν τριτάτῳ Φθίην ἐρίβωλον ἵκοιο.”	“Socrates, on the third day thou wouldst come to fertile Phthia.”	O Socrates- "The third day hence, to Phthia shalt thou go." 	O Sokrates, möchtest du am dritten Tag in die schollige Phthia gelangen.	ای سقراط , در روز سوم به سرزمین حاصلخیز فتیا خواهی آمد .	«ای سقراط , چه‌بسا در روز سوم به فتیای حاصل‌خیز رسیده باشی . »	« ای سقراط , " روز سوم به سرزمین حاصل‌خیز فتیا خواهی آمد . " »	«ای سقراط، در سومین روز به فتیای پربار توانی رسید.»							
0059-003|35.|Cr.44b.3.	Κρίτων. ἄτοπον τὸ ἐνύπνιον, ὦ Σώκρατες.	Crito. A strange dream, Socrates.	Cr. What a singular dream, Socrates!	Kriton: Welch ein sonderbarer Traum, o Sokrates!	چه خواب غریبی ای سقراط	رؤیای غریبی است سقراط	رویایی نابجا، ای سقراط!	کریتون: شگفت رویایی‌ست، ای سقراط.	خوابی است نامعمول ای سقراط .						
