Title3,Following Perseus,Greek,English,Benjamin_Jowett,Schleiermacher,Rahimi,Nikpour,Shojaian,Mohammadi,Mahmoodzadeh,Asimi,1st final translation,2nd final translation,3rd final translation,Kazeminia
0059-003|11.|Cr.43b.3.,0059-003|10.|Cr.43b.2.,"Κρίτων. οὐ μὰ τὸν Δία, ὦ Σώκρατες, οὐδ᾽ ἂν αὐτὸς ἤθελον ἐν τοσαύτῃ τε ἀγρυπνίᾳ καὶ λύπῃ εἶναι, ἀλλὰ καὶ σοῦ πάλαι θαυμάζω αἰσθανόμενος ὡς ἡδέως καθεύδεις:  ","Crito. No, no, by Zeus, Socrates, I only wish I myself were not so sleepless and sorrowful. But I have been wondering at you for some time, seeing how sweetly you sleep; ","Cr. Why, indeed, Socrates, I myself would rather not have all this sleeplessness and sorrow. But I have been wondering at your peaceful slumbers,","Kriton: Nein, beim Zeus, Sokrates, wollte ich doch selbst lieber nicht so lange gewacht haben in solcher Betrübnis. Aber sogar dir habe ich schon lange verwundert zugesehen, wie sanft du schliefst; ","سوگند به زئوس نه , ای سقراط ,
کاش خود دوست نداشتم دیرزمان در شب‌زنده‌داری و رنج درگیرشوم ,
اما از این گذشته چندی پیش محو تماشای تو بوده‌ام که چگونه آرام خفته‌ای ;
","ای سقراط ; نه به زئوس [ قسم ] , خودم میل داشتم که اگر [ ممکن بود ] بسی بی خواب و اندوهگین نبودم ; لیکن دیرزمانی است که از تو در شگفتم , می بینم خوش خوابیده ای ;   ++ برای خاطر خدا حرفش را هم نزن سقراط . خودِ من نمی‌خواستم این‌چنین در بی‌خوابی و رنج باشم , اما مدتی است از دیدنِ تو که چه آسوده می‌خوابی در شگفتم ","ای سقراط ; نه به زئوس [ قسم ] , خودم میل داشتم که اگر [ ممکن بود ] بسی بی خواب و اندوهگین نبودم ; لیکن دیرزمانی است که از تو در شگفتم , می بینم خوش خوابیده ای ","سوگند به زئوس , نه سقراط ! شاید می‌خواستم خودم در هر دوی بی‌خوابی و رنج چنین عظیمی نبودم , و دیگر اینکه دیربازی ( برای مدت مدیدی ) در حال دیدن اینکه در خواب شیرین بودی , بر تو خیره بودم ; ","اوه سقراط ! سوگند به زئوس چنین مباشد . من خود , بودن در این بسیاریِ رنج و بی خوابیِ توأمان را نمی خواستم , لیک دیری ست در حالِ نگریستنِ تو ام و می ستایم ات که چه سان دلپذیر خفته ایی ","نه , به زئوس , سقراط شایق بودم که خود چنین بیخواب و رنجور نباشم , اما چندی است با دیدن اینکه چه خوش خفته ای از تو در شگفتم",کریتون: نه به زئوس، سقراط، شایق بودم که خود چنین بی‌خواب و رنجور نباشم، اما از این گذشته چندی محو تماشای تو بوده‌ام که چگونه آرام خفته‌ای،,کریتون: سوگند به زئوس نه، ای سقراط، خودِ من نمی‌خواستم این‌چنین در بی‌خوابی و رنج باشم، لیک دیری‌ست بر تو نگریسته، در شگفتم که چه سان آسوده خفته‌ای، ,کریتون: ای سقراط ; نه به زئوس [ قسم ]، خود نمی‌خواستم این‌چنین در بی‌خوابی و رنج باشم، لیکن دیرزمانی است از دیدنِ تو که چه دلپذیر می‌خوابی در شگفتم،,"نه سقراط , باورکن که در بی خوابی و رنج فراوان بودن را خودم هم نمیخواستم . از این گذشته , به تو زل زده بودم که چه لذیذ استراحت می کردی ."
0059-003|12.|Cr.43b.4.,0059-003|10.|Cr.43b.2.,καὶ ἐπίτηδές σε οὐκ ἤγειρον ἵνα ὡς ἥδιστα διάγῃς.,"and I purposely refrained from waking you, that you might pass the time as pleasantly as possible.","and that was the reason why I did not awaken you, because I wanted you to be out of pain. ","und recht wohlbedächtig habe ich dich nicht geweckt, damit dir die Zeit noch recht sanft hingehe. ",و عمداً به این دلیل بیدارت نکردم که همچنان به‌خوشایندی تداوم‌اش‌دهی .,و عمداً تورا بیدار نکردم تا در اینجا که به خوشی سر کنی ++ و عمداً تو را بیدار نکردم تا مگر گذران مطبوعی داشته باشی .,;و عمداً تورا بیدار نکردم تا در اینجا که به خوشی سر کنی .,و به قصد تو را بیدار نکردم تا زمانی را در آسوده‌ترین حالت ممکن سپری کنی . ,و به عمد تو را بیدار نمی کردم از این رو که چنین مطبوع گذرِ زمان را بر می تابی ,و عمدا بیدارت نکردم تا همانطور خوش وقتت بگذرد .,و عمداً بیدارت نکردم تا همچنان به‌خوشایندی تداوم‌اش‌دهی؛,و به عمد بیدارت نکردم تا به بهترین حالت [وقت] بگذرانی؛,و عمداً تو را بیدار نکردم تا چندی را در آسوده‌ترین حالت سپری کنی.,و عمدا بیدارت نکردم تا به بهترین حالت بگذرانی .
0059-003|13.|Cr.43b.5.,0059-003|10.|Cr.43b.2.,"καὶ πολλάκις μὲν δή σε καὶ πρότερον ἐν παντὶ τῷ βίῳ ηὐδαιμόνισα τοῦ τρόπου, πολὺ δὲ μάλιστα ἐν τῇ νῦν παρεστώσῃ συμφορᾷ, ὡς ῥᾳδίως αὐτὴν καὶ πρᾴως φέρεις.","I have often thought throughout your life hitherto that you were of a happy disposition, and I think so more than ever in this resent misfortune, since you bear it so easily and calmly.","I have always thought you happy in the calmness of your temperament; but never did I see the like of the easy, cheerful way in which you bear this calamity.","Denn oft schon freilich auch sonst im ganzen Leben habe ich dich glücklich gepriesen deiner Gemütsart wegen, bei weitem aber am meisten bei dem jetzigen Unglück wie leicht und gelassen du es erträgst.",,".و در واقع تو را اغلب و تا کنون در سراسر زندگانی ات دارای مناعت طبع [ دانسته ام ] ;و من بیش از همیشه اکنون در [ فکر ] نگون بختی اخیر [ هستم ] زیرا که تو خود را در فراغ بالی و متانت قرار می دهی . ++  
و من پیش از این اغلب تو را از طریق کردار زندگی‌ات شاد خواندم , و حتی اکنون بیش از پیش قدعلم‌کرده دربرابر تیره‌بختی , تو آن را چه سهل و آرام. تاب می‌آوری",و در واقع تو را اغلب و تا کنون در سراسر زندگانی ات دارای مناعت طبع [ دانسته ام ] ;و من بیش از همیشه اکنون در [ فکر ] نگون بختی اخیر [ هستم ] زیرا که تو خود را در فراغ بالی و متانت قرار می دهی .,"و پیشتر در طول ( کل ) زندگانی‌ات اغلب اوقات تو را به گونه‌ای شادمان می‌دانستم ( می‌خواندم ) , حتی ( اما ) اکنون بیش از پیش که در این بدشگونی در حال وقوع , به آسانی و به آرامی آن را متحمل می‌شوی . ( تحمل می‌کنی )",و به راستی پیش تر نیز بارها بهرِ منش ات در تمام زندگی تو را نیکبخت پنداشته ام و حالیا در این تیره بختیِ پیش آمده بسی بیشتر که بدین سان به آسودگی و سبکبالی تاب اش می آوری .,و من اغلب تا کنون ترا در زندگی ات دارای منشی سعادتمند قلمداد کرده ام و اینکه خودت چه سهل این بداقبالی کنونی را متحمل شده ای مرا در این نظر راسخ تر کرده است .,تا کنون اغلب تو را در زندگی‌ات دارای منشی سعادتمند قلمداد کرده‌ام و اکنون بیش از پیش، که چه سهل و آرام این بداقبالی کنونی را متحمل شده‌ای.,به راستی پیشتر نیز بارها بهرِ منش‌ات در تمام زندگی تو را نیکبخت پنداشته‌ام و حال در این تیره‌بختیِ پیش آمده بسی بیشتر که بدین سان به آسودگی و سبکبالی تاب‌اش می‌آوری .,تا کنون در سراسر زندگانی ات تو را اغلب دارای مناعت طبع [دانسته ام]، و پس از مصیبتِ واردشده‌ی اخیر که آن را آسان و خونسرد تاب می‌آوری، بسیار بیشتر .,"تا کنون اغلب بخاطر منش ات در زندگی خوشبخت ات می دانستم و پس از مصیبتِ واردشده کنونی که آنرا آسان و خونسرد تاب می آوری , بسیار بیشتر ."
0059-003|14.|Cr.43c.1.,0059-003|11.|Cr.43b.3.,"Σωκράτης. καὶ γὰρ ἄν, ὦ Κρίτων, πλημμελὲς εἴη ἀγανακτεῖν τηλικοῦτον ὄντα εἰ δεῖ ἤδη τελευτᾶν.","Socrates. Well, Crito, it would be absurd if at my age I were disturbed because I must die now.","Soc. Why, Crito, when a man has reached my age he ought not to be repining at the prospect of death.","Sokrates: Es wäre ja auch frevelhaft, o Kriton, mich in solchem Alter unwillig darüber zu gebärden, wenn ich endlich sterben muß.","البته چنین خواهد بود , ای کریتون , اگر بایستی اکنون بمیرم , برآشفتگی در سن و سال من شرم‌آور خواهد بود",". و به همین دلیل , کریتون , چه‌بسا ناشایست باشد اگر در این سن عصیان‌گر باشم , همین حالا هم درگذشتن اقتضا می‌کند","و در نتیجه , ای کریتون نابهنجار خواهد بود اگر در این سن و سال مشوش شوم [ درحالیکه ] اکنون باید بمیرم .","و برای همین , ای کریتون , اگر حال که ناچاراً ( ناگزیر ) مرگ ( مردن ) من فرا رسیده است شاید آزرده خاطر شدن با این کهولت سن ( با کهولت سنی که دارم ) ناهمگون ( مضحک ) می‌شد .",به راستی ای کریتون بادا که پریشان خاطر شدن در این سن نابسزا باشد اگر که می بایست حالیا به فرجامِ عمر رسیدن .,"باری , ای کریتون شرم آور است که در چنین سنی که دیگر وقت مردن است بر خود بلرزم .",سقراط: ای کریتون، شرم‌آور خواهد بود  اگر در این سن و سال مشوش شوم که اکنون باید بمیرم .,سقراط: باری ای کریتون بادا که پریشان خاطر شدن در این سن نابسزا باشد اگر می‌بایست حال به فرجامِ عمر رسیدن ., سقراط: باری اگر بایستی اکنون بمیرم، ای کریتون، برآشفتگی در سن و سال من ناشایست خواهد بود.,"اگر نیاز به مردن باشد , برآشفتن در چنین سنی ناشایست خواهد بود"
0059-003|15.|Cr.43c.2.,0059-003|14.|Cr.43c.1.,"Κρίτων. καὶ ἄλλοι, ὦ Σώκρατες, τηλικοῦτοι ἐν τοιαύταις συμφοραῖς ἁλίσκονται, ἀλλ᾽ οὐδὲν αὐτοὺς ἐπιλύεται ἡ ἡλικία τὸ μὴ οὐχὶ ἀγανακτεῖν τῇ παρούσῃ τύχῃ.","Crito. Other men as old, Socrates, become involved in similar misfortunes, but their age does not in the least prevent them from being disturbed by their fate.","Cr. And yet other old men find themselves in similar misfortunes, and age does not prevent them from repining.","Kriton: Werden doch auch Andere, Sokrates, eben so bejahrte von solchem Unglück bestrickt; aber ihr Alter schützt sie nicht davor, sich nicht unwillig zu gebärden gegen das eintretende Geschick.","البته ای سقراط , دیگرانی پیرتر در مصیبت‌های مشابهی گرفتار آمده‌اند اما با اینحال سنشان هیچکدام‌ شان را از برآشفتگی دررسیدن تقدیرشان نرهانیده است .","دیگر سالخوردگان سقراط به چنین تیره‌بختی‌ای گرفتار می‌شوند , اما ابداً سن‌و‌سال آنها را از عصیان در محضر سرنوشت . بازنمی‌دارد","ای سقراط , مردمی دیگر با چنین سن و سالی دچاراین سان نگون بختی ها میشوند لیکن سن شان حداقل مانع خودشان نمیشود [ تا ] از جانب سرنوشت شان مشوش شوند .","و نیز مردان دیگری , ای سقراط , با همین سن در این چنین مصیبتی گرفتار آمده‌اند , ولی پیری [ شان ] ( کهولت سن ) نشأت گرفته از ( ناشی از - زاده ) سرنوشت‌ شان ( تقدیرشان ) به هیچ وجه آن‌ها را از آزرده خاطر شدن‌ شان باز نمی‌دارد .",ای سقراط ! دیگرانی هم در این سن به چنین تیره بختی هایی دچار می گردند اما سن شان آنان را به هیچ روی از پریشان خاطر شدن بهرِ تقدیر موجود خویش باز نمی دارد .,"دیگرانی , ای سقراط در همین سن گرفتار چنین بداقبالی ای اند , اما سال عمرشان ایشان را نه از چیزی رهانیده و نه حتی از بر خود لرزیدن به نزد فرجام بازداشته است .", کریتون: ای سقراط ! دیگرانی هم در این سن به چنین تیره‌بختی‌هایی دچار می‌گردند، لیکن سن‌شان آنان را به هیچ روی از پریشان خاطر شدن بهرِ تقدیر مختوم‌شان باز نمی‌دارد ., کریتون: و نیز مردان دیگری، ای سقراط، با همین سن در این چنین وضعیت‌هایی گرفتار آمده‌اند، ولی ابداً سن‌و‌سال آنها را از برآشفتگی در محضر سرنوشت بازنمی‌دارد, کریتون: دیگر سالخوردگانی نیز، سقراط، به چنین مصیبت‌هایی گرفتار آمده‌اند، اما با این حال سن‌شان هیچکدام‌‌شان را از برآشفتگی دررسیدن فرجام‌شان نرهانیده است .,"دیگرانی نیز در این سن در همچین مخمصه ای گیرکرده اند , اما سنِ هیچکدام مانعِ برآشفتن شان بخاطر وقوع این سرنوشت نشد"
0059-003|16.|Cr.43c.3.,0059-003|15.|Cr.43c.2.,Σωκράτης. ἔστι ταῦτα. ,Socrates. That is true. ,Soc. That may be. ,Sokrates: Wohl wahr! ,"هستند , ",درست است . ,"چنین است ,",چنین است . ,چنین است .,همینطور است ., سقراط: درست است., سقراط: همینطور است., سقراط: چنین است.,درست است .
0059-003|17.|Cr.43c.4.,0059-003|15.|Cr.43c.2.,ἀλλὰ τί δὴ οὕτω πρῲ ἀφῖξαι;,But why have you come so early?,But you have not told me why you come at this early hour.,Aber warum doch bist du so früh gekommen?,اما چرا بدین پگاه آمده‌ای؟,اما چرا این‌قدر زود آمده‌ای ؟,لیکن چرا چنین زودهنگام آمده ای ؟,ولی برای چه بدین‌گونه زود آمده‌ای ؟,اما از چه روی این سان زود آمده ایی ؟,اما چرا اینقدر زود آمده ای ؟,لیکن چرا چنین زودهنگام آمده‌ای ؟,اما برای چه این‌قدر زود آمده‌ای ؟,اما از چه روی این سان زود آمده‌ای؟,اما چرا بدین زودی آمده ای؟
0059-003|18.|Cr.43c.5.,0059-003|16.|Cr.43c.3.,"Κρίτων. ἀγγελίαν, ὦ Σώκρατες, φέρων χαλεπήν, οὐ σοί, ὡς ἐμοὶ φαίνεται, ἀλλ᾽ ἐμοὶ καὶ τοῖς σοῖς ἐπιτηδείοις πᾶσιν καὶ χαλεπὴν καὶ βαρεῖαν, ἣν ἐγώ, ὡς ἐμοὶ δοκῶ, ἐν τοῖς βαρύτατ᾽ ἂν ἐνέγκαιμι.","Crito. To bring news, Socrates, sad news, though apparently not sad to you, but sad and grievous me and all your friends, and to few of them, I think, so grievous as to me.","Cr. I come to bring you a message which is sad and painful; not, as I believe, to yourself but to all of us who are your friends, and saddest of all to me.","Kriton: Um dir eine traurige Botschaft zu bringen, Sokrates. Nicht dir, wie ich wohl sehe, aber mir und allen deinen Freunden traurig und schwer, und die ich wie mich dünkt ganz besonders am schwersten ertragen werde.","ای سقراط , آورندهٔ خبرهای ناگوار هستم , نه چنانکه بر من آشکار است برای تو , اما برای من و همه آن دوست‌داران‌ات البته سخت و جانگداز , چه به نظرم می‌آید برای من سخت‌ترین‌ها دوام آوردن‌ام درمیانه آنها است .","سقراط , حامل خبری طاقت‌فرسا هستم , نه برای تو , چنانکه بر من پیداست , اما طاقت‌فرسا و گران برای من و همه‌ی دوستان تو .. چه‌بسا در میان آن‌ها , چنانکه به نظر من می‌رسد , من آن را به گران‌ترین حالت حمل کرده‌ام","ای سقراط ; آورنده خبری ناگوار هستم لیکن به نظر میرسد تو [ اندوهناک ] نیستی . اما من و تمامی دوستان تو , همچون من , اندوهگین و دردمند [ هستیم ] ; زیرا تصور می کنم آنان دردمندی [ سترگ ] را به دوش می کشند .","حامل پیامی اسفناک ( اندوهناک - دردناک ) هستم , ای سقراط , نه برای تو , آنگونه که برای من آشکار است , بلکه برای من و تمامی دوستان ات ( طرفدارانت ) و چه سخت و گران , خبر من , چنانکه من برداشت کرده‌ام ( به نظرم می‌رسد ) , در میان آن‌ها برای من [ از همه بیشتر ] گران می‌آید ."," آه سقراط ! پیامی دشوار را آورنده ام . البتّه نه برایِ تو آنگونه که بر من پیدا ست , امّا بس دشوار و گران برای من و جُمله یاران ات , چنانکه می پندارم در بین آنان من اش چه گران تر بر دوش کشیدمی .","برای آوردن خبر , ای سقراط , خبری ناگوار و چنانکه بر من هویداست نه چنان ناگوار برای تو . اما برای من و تمام دوستدارانت هم ناگوار و هم گران و بر من چنانکه خود می دانم گران ترین تا حمل کنم .", کریتون: آه سقراط ! پیامی دشوار را آورنده‌ام. البتّه نه برایِ تو آنگونه که بر من پیداست، امّا بس دشوار و گران برای من و جُمله یاران‌ات، چنان‌که می‌پندارم در بین آنان من اش چه گران‌تر بر دوش کشیدمی., کریتون: سقراط، حامل خبری طاقت‌فرسا هستم، نه برای تو، چنانکه بر من پیداست، اما طاقت‌فرسا و گران برای من و همه‌ی دوستان تو . چه‌بسا در میان آن‌ها، چنانکه به نظر من می‌رسد، من آن را به گران‌ترین حالت حمل کرده‌ام., کریتون: آورنده‌ی خبری ناگوار هستم، ای سقراط، نه برای تو، آنگونه که برای من آشکار است، اما برای من و همه آن دوست‌داران‌ات البته سخت و ناگوار، چه به نظرم می‌آید در بین آنان برای من ناگوارترین باشد,برای آوردن خبری ناگوار . البته چنان که پیداست برای تو نه . اما برای من و تمامِ یارانت تلخ و دردآور است . و گمان میکنم برای من از آنها دردآورتر باشد
0059-003|19.|Cr.43c.6.,0059-003|20.|Cr.43d.1.,Σωκράτης. τίνα ταύτην;,Socrates. What is this news?,Soc. What! ,Sokrates: Was doch für eine? ,کدام اش‌؟ ,چه خبری ؟ ,از برای چه چنین است ؟,این [ خبر ] چیست ؟ ,چه باشد آن ؟,کدام خبر ؟,سقراط: چه خبری؟,سقراط: این [ خبر ] چیست؟,سقراط: چه باشد آن ؟,مگر چه خبر است؟ 
0059-003|20.|Cr.43d.1.,0059-003|20.|Cr.43d.1.,"ἢ τὸ πλοῖον ἀφῖκται ἐκ Δήλου, οὗ δεῖ ἀφικομένου τεθνάναι με;","Has the ship come from Delos, at the arrival of which I am to die?","I suppose that the ship has come from Delos, on the arrival of which I am to die?","Ist etwa das Schiff aus Delos zurückgekommen, nach dessen Ankunft ich sterben soll?","مگر آن کشتی از دلوس رسیده‌است , آنکه با آمدنش لازم است مرده باشم .","مگر آن کشتی , که با ورود آن مرا می‌بایست مردن , از دلوس رسیده است ؟","آیا آن کشتی , که هنگام رسیدن [ آن ] من باید کشته شوم , از دلوس آمده است ؟","یا کشتی از دلوس رسیده است , آنکه با رسیدنش مرگ من ملزوم ( حتمی ) می‌شود ؟","مگر آن کشتی از دلوس رسیده است , همان که با آمدن اش می بایست مرا بدرود حیات گفتن .",آیا آن کشتی که رسیدنش از دلوس مقتضی مرگ من است رسیده است ؟,مگر آن کشتی، که با ورود آن مرا می‌بایست مردن، از دلوس رسیده است ؟, مگر آن کشتی از دلوس رسیده‌است، آنکه با آمدنش لازم است مرده باشم؟, مگر آن کشتی از دلوس رسیده است، همان که با آمدن‌اش می‌بایست مرا بدرود حیات گفتن؟,نکند کشتی از دلوس آمده است و فرارسیدن مرگِ مرا اعلام می دارد؟
